Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Critical_Cases,Continent
Afghanistan,234174,0,7996,0,211080,15098,0,Asia
Albania,334863,0,3605,0,330233,1025,0,Europe
Algeria,272010,0,6881,0,183061,82068,0,Africa
Andorra,48015,0,165,0,0,47850,0,Europe
Angola,107327,0,1937,0,103419,1971,0,Africa
Anguilla,3904,0,12,0,0,3892,0,North America
Antigua and Barbuda,9106,0,146,0,8954,6,0,North America
Argentina,10128845,0,130841,0,9997258,746,0,South America
Armenia,451831,0,8777,0,435162,7892,0,Asia
Aruba,44224,0,292,0,42438,1494,2,North America
Australia,11853144,0,24414,0,11820014,8716,3,Australia-Oceania
Austria,6081287,0,22542,0,6054934,3811,0,Europe
Azerbaijan,835234,0,10400,0,824089,745,0,Asia
Bahamas,38084,0,844,0,36366,874,1,North America
Bahrain,729549,0,1574,0,727915,60,0,Asia
Bangladesh,2049377,0,29493,0,0,2019884,0,Asia
Barbados,110578,0,648,0,108647,1283,0,North America
Belarus,994037,0,7118,0,985592,1327,0,Europe
Belgium,4861695,0,34376,0,4826798,521,0,Europe
Belize,71409,0,688,0,0,70721,0,North America
Benin,28036,0,163,0,27847,26,0,Africa
Bermuda,18860,0,165,0,18685,10,0,North America
Bhutan,62697,0,21,0,61564,1112,0,Asia
Bolivia,1212131,0,22407,0,1177145,12579,220,South America
Bosnia,403615,0,16388,0,379084,8143,0,Europe
Botswana,330638,0,2801,0,327049,788,1,Africa
Brazil,38743918,0,711380,0,36249161,1783377,0,South America
British Virgin Islands,7392,0,64,0,0,7328,0,North America
Brunei,343719,0,225,0,243601,99893,3,Asia
Bulgaria,1339851,0,38748,0,1292944,8159,22,Europe
Burkina Faso,22114,0,400,0,21596,118,0,Africa
Burundi,54721,0,38,0,53569,1114,0,Africa
Cabo Verde,64477,0,417,0,63755,305,23,Africa
Cambodia,139103,0,3056,0,136044,3,0,Asia
Cameroon,125379,0,1974,0,123280,125,0,Africa
Canada,4946090,0,59034,0,4881312,5744,99,North America
Caribbean Netherlands,11682,0,38,0,10476,1168,0,North America
Cayman Islands,31472,0,37,0,8553,22882,1,North America
Central African Republic,15440,0,113,0,15200,127,2,Africa
Chad,7701,0,194,0,4874,2633,0,Africa
